clause_text,label
This document takes effect upon signing.,Commencement
All disputes shall be resolved through arbitration.,Dispute Resolution
Late payments will incur a 3% interest.,Interest Rates
No party shall leak confidential terms.,Confidentiality
All disputes shall be resolved through arbitration.,Dispute Resolution
This shall be construed under California laws.,Governing Law
Contract expires at the end of term unless extended.,Termination
The agreement includes a confidentiality clause.,Confidentiality
Terms require quarterly payments.,Repayment Terms
No party shall leak confidential terms.,Confidentiality
Either side can end the agreement anytime.,Termination
This contract is governed by the laws of India.,Governing Law
The agreement may be terminated by mutual consent.,Termination
Parties must not share proprietary information.,Confidentiality
The obligations start from the date of this agreement.,Commencement
This contract ends if conditions are violated.,Termination
Indian law governs this agreement.,Governing Law
No party shall leak confidential terms.,Confidentiality
All information must be kept confidential.,Confidentiality
All clauses follow the law of England.,Governing Law
All disputes are subject to legal proceedings.,Dispute Resolution
Repayment schedule is fixed and non-negotiable.,Repayment Terms
The recipient shall not disclose any confidential data.,Confidentiality
This shall be construed under California laws.,Governing Law
This contract is governed by the laws of India.,Governing Law
"In case of a dispute, arbitration shall apply.",Dispute Resolution
Parties agree to commence obligations as of today.,Commencement
The services will commence from the 1st of next month.,Commencement
The services will commence from the 1st of next month.,Commencement
Parties must not share proprietary information.,Confidentiality
Termination rights are reserved by the company.,Termination
All disputes are subject to legal proceedings.,Dispute Resolution
Legal jurisdiction is specified as Delhi.,Governing Law
Breach of terms leads to contract termination.,Termination
The parties agree to maintain strict confidentiality.,Confidentiality
The recipient shall not disclose any confidential data.,Confidentiality
The interest rate shall be 5% annually.,Interest Rates
"In case of a dispute, arbitration shall apply.",Dispute Resolution
The laws of the State shall apply.,Governing Law
Variable interest rates apply based on prime rate.,Interest Rates
All dues must be cleared within 60 days.,Repayment Terms
The deal ends after 12 months unless renewed.,Termination
Conflict resolution follows the contract terms.,Dispute Resolution
The laws of the State shall apply.,Governing Law
Termination clause is applicable after one year.,Termination
The agreement is subject to New York laws.,Governing Law
Breach of terms leads to contract termination.,Termination
Litigation is the method for dispute resolution.,Dispute Resolution
Legal jurisdiction is specified as Delhi.,Governing Law
Legal jurisdiction is specified as Delhi.,Governing Law
This document is interpreted under UK law.,Governing Law
This shall be construed under California laws.,Governing Law
The deal ends after 12 months unless renewed.,Termination
All dues must be cleared within 60 days.,Repayment Terms
The borrower agrees to pay the full amount within 30 days.,Repayment Terms
Parties agree to commence obligations as of today.,Commencement
Advance payments are allowed under this clause.,Repayment Terms
Disclosure of confidential information is prohibited.,Confidentiality
Termination is effective upon written notice.,Termination
The agreement is subject to New York laws.,Governing Law
Either side can end the agreement anytime.,Termination
The recipient shall not disclose any confidential data.,Confidentiality
Parties agree to commence obligations as of today.,Commencement
Legal jurisdiction is specified as Delhi.,Governing Law
The interest rate shall be 5% annually.,Interest Rates
The commencement date is the date mentioned herein.,Commencement
Parties agree to commence obligations as of today.,Commencement
No party shall leak confidential terms.,Confidentiality
